Timestamp,Amount spent by,For,Mode of transaction,Home Expenses,Further details if any,Amount
5-27-2022 18:12:57,LKS,Home,Cash,Fuel,activa,750
5-31-2022 16:22:21,LKS,Home,Cash,Fruits and Vegitables,,220
5-31-2022 16:23:23,LKS,Others,Cash,Snacks and eatables,bikanerwala sweets,550
5-31-2022 16:24:25,MKA,Others,Cash,Entertainment / Movie,family lunch at bikanerwala,3000
5-31-2022 16:26:49,LKS,Home,Cash,Medical,adithya medicines and for kitten,370
5-31-2022 16:26:49,LKS,Home,Online/Digital,Snacks and eatables,sweets at Bikanerwala,430
5-31-2022 16:29:07,LKS,Home,Online/Digital,cat Food,,360
5-31-2022 16:31:41,LKS,Home,Online/Digital,TV Rechanrge,.tatasky,396
5-31-2022 16:32:51,LKS,Home,Online/Digital,Repair works,ac stablizer service,600
5-31-2022 16:33:29,MAS,Personal,Online/Digital,Snacks and eatables,breakfast,280
5-31-2022 16:34:09,MAS,Personal,Cash,Snacks and eatables,juices,300
5-31-2022 16:35:36,LKS,Home,Cash,Snacks and eatables,juice,30
5-31-2022 16:36:47,LKS,Home,Cash,"stationeries and photos of mka, lks and maa",,250
5-31-2022 16:37:37,LKS,Home,Online/Digital,Fruits and Vegitables,,1252
5-31-2022 16:38:16,LKS,Home,Online/Digital,General Provisions,backiyam stores,4382
5-31-2022 16:38:16,LKS,Home,Online/Digital,Fruits and Vegitables,,1126
6-2-2022 15:12:34,LKS,Home,Cash,Water,,1340
6-2-2022 15:12:51,LKS,Home,Cash,Servant salary,,2000
6-5-2022 22:41:04,LKS,Home,Cash,Fruits and Vegitables,,380
6-5-2022 22:41:23,LKS,Home,Cash,Flower,,100
6-5-2022 22:41:41,LKS,Home,Cash,Milk,,370
6-5-2022 22:42:17,LKS,Home,Cash,Napkins,,55
6-5-2022 22:42:43,LKS,Home,Cash,Fuel,,300
6-5-2022 22:43:24,MAS,Home,Cash,Travel,Auto to college,450
6-8-2022 12:23:25,LKS,Home,Cash,Medical,appa medicine and vicks  and paracitamol,200
6-8-2022 12:27:14,LKS,Home,Cash,Snacks and eatables,chaikings,155
6-8-2022 12:30:01,LKS,Home,Cash,General Provisions,vsp,3075
6-8-2022 12:32:11,LKS,Home,Cash,Dress / Tailoring,baniyan for mka,650
6-8-2022 12:33:35,MAS,Home,Online/Digital,Snacks and eatables,,75
6-8-2022 12:39:55,LKS,Home,Online/Digital,Medical,medicine for adithyaa,92
6-8-2022 12:41:41,LKS,Home,Online/Digital,Internet charges,Hathway subscription,944
6-8-2022 12:44:08,LKS,Home,Online/Digital,Snacks and eatables,breakfast,362
6-8-2022 12:46:27,LKS,Home,Online/Digital,Entertainment / Movie,movie tickets booked,439
6-8-2022 12:48:41,LKS,Home,Online/Digital,Repair works,electrical repairs,450
6-17-2022 16:14:49,LKS,Home,Cash,General Provisions,,350
6-17-2022 16:15:45,LKS,Home,Cash,Milk,,375
6-17-2022 16:16:45,LKS,Home,Cash,Fruits and Vegitables,,650
6-17-2022 16:17:10,LKS,Home,Cash,Flower,,220
6-17-2022 16:17:27,LKS,Home,Cash,Coffeepowder,,630
6-17-2022 16:19:42,LKS,Home,Cash,Snacks and eatables,,400
6-17-2022 16:20:18,LKS,Home,Cash,Ironing,,230
6-17-2022 16:20:41,LKS,Home,Cash,Fuel,Activa,300
6-17-2022 16:21:06,LKS,Home,Cash,Repair works,Activa service,3100
6-17-2022 16:22:06,LKS,Home,Cash,Stationery,pune courier and stationery,200
6-17-2022 16:22:50,LKS,Home,Cash,Fruits and Vegitables,,280
6-17-2022 16:25:26,LKS,Home,Cash,Dress / Tailoring,chappal for amma,160
6-20-2022 12:16:20,LKS,Home,Cash,Fruits and Vegitables,,450
6-27-2022 22:46:48,LKS,Home,Cash,General Provisions,Vsp,500
6-27-2022 22:47:39,LKS,Home,Cash,Fruits and Vegitables,,650
6-27-2022 22:47:57,LKS,Home,Cash,Flower,,100
6-27-2022 22:48:30,LKS,Home,Cash,Servant salary,Advance,500
6-27-2022 22:48:59,LKS,Home,Cash,Donation,,50
6-27-2022 22:50:20,MAS,Home,Cash,Snacks and eatables,,120
6-27-2022 22:50:50,LKS,Home,Cash,Ironing,,130
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
